,IV,feature
311,0.3669122850458099,greyscale -> green -> persistence_image-11
312,0.3480864513427761,greyscale -> green -> persistence_image-12
313,0.3480507874163849,greyscale -> green -> persistence_image-13
314,0.3424346362531845,greyscale -> green -> persistence_image-14
315,0.2978672612786518,greyscale -> green -> persistence_image-15
316,0.3701642131354182,greyscale -> green -> persistence_image-16
317,0.3701642131354182,greyscale -> green -> persistence_image-17
318,0.36998946808629707,greyscale -> green -> persistence_image-18
319,0.365459817973824,greyscale -> green -> persistence_image-19
320,0.3147411655117129,greyscale -> green -> persistence_image-20
321,0.3147411655117129,greyscale -> green -> persistence_image-21
322,0.3141772181712333,greyscale -> green -> persistence_image-22
323,0.31262926321521284,greyscale -> green -> persistence_image-23
324,0.4990661948856956,greyscale -> green -> lifetime-0
325,0.5104524479115401,greyscale -> green -> lifetime-1
326,0.46166676195685036,greyscale -> green -> lifetime-2
327,0.48304831541845267,greyscale -> green -> lifetime-3
328,0.595224348486269,greyscale -> green -> lifetime-4
329,0.5786503996893494,greyscale -> green -> lifetime-5
330,0.5823543247601369,greyscale -> green -> lifetime-6
331,0.6304756191969305,greyscale -> green -> lifetime-7
332,0.5966661603351975,greyscale -> green -> lifetime-8
333,0.4915472896324277,greyscale -> green -> lifetime-9
334,0.5299976584150788,greyscale -> green -> lifetime-10
335,0.5388242530547839,greyscale -> green -> lifetime-11
336,0.5484514110273666,greyscale -> blue -> betti-0
337,0.5484514110273666,greyscale -> blue -> betti-1
338,0.48744062943787503,greyscale -> blue -> betti-2
339,0.2933020163581694,greyscale -> blue -> betti-3
340,0.5004906183761997,greyscale -> blue -> betti-4
341,0.5004906183761997,greyscale -> blue -> betti-5
342,0.4488133000877318,greyscale -> blue -> betti-6
343,0.2882268449449229,greyscale -> blue -> betti-7
344,0.5585268944348406,greyscale -> blue -> landscape-0
345,0.5585268944348406,greyscale -> blue -> landscape-1
346,0.5659351712772077,greyscale -> blue -> landscape-2
347,0.5568692265404368,greyscale -> blue -> landscape-3
348,0.5543474586287411,greyscale -> blue -> landscape-4
349,0.5543474586287411,greyscale -> blue -> landscape-5
350,0.5680836143077428,greyscale -> blue -> landscape-6
351,0.5674872472737967,greyscale -> blue -> landscape-7
352,0.559004515243224,greyscale -> blue -> landscape-8
353,0.559004515243224,greyscale -> blue -> landscape-9
354,0.5636070147744854,greyscale -> blue -> landscape-10
355,0.5514785574549472,greyscale -> blue -> landscape-11
356,0.5284532956173265,greyscale -> blue -> landscape-12
357,0.5284456838026456,greyscale -> blue -> landscape-13
358,0.5173143326162586,greyscale -> blue -> landscape-14
359,0.49179834245002574,greyscale -> blue -> landscape-15
360,0.567271608006729,greyscale -> blue -> landscape-16
361,0.5669456698320834,greyscale -> blue -> landscape-17
362,0.5570783469964281,greyscale -> blue -> landscape-18
363,0.5368214261473998,greyscale -> blue -> landscape-19
364,0.5818188848446822,greyscale -> blue -> landscape-20
365,0.5818108864984228,greyscale -> blue -> landscape-21
366,0.5850463172716138,greyscale -> blue -> landscape-22
367,0.5633608615617963,greyscale -> blue -> landscape-23
368,0.5703254194774352,greyscale -> blue -> silhouette-0
369,0.5703254194774352,greyscale -> blue -> silhouette-1
370,0.5664038146246221,greyscale -> blue -> silhouette-2
371,0.5266631496044227,greyscale -> blue -> silhouette-3
372,0.4728376493151342,greyscale -> blue -> silhouette-4
373,0.4728376493151342,greyscale -> blue -> silhouette-5
374,0.4403982032197086,greyscale -> blue -> silhouette-6
375,0.35122782982218725,greyscale -> blue -> silhouette-7
376,0.5560206705370667,greyscale -> blue -> silhouette-8
377,0.5560206705370667,greyscale -> blue -> silhouette-9
378,0.5475613246132393,greyscale -> blue -> silhouette-10
379,0.49816151551874055,greyscale -> blue -> silhouette-11
380,0.5111838259284852,greyscale -> blue -> silhouette-12
381,0.5111838259284852,greyscale -> blue -> silhouette-13
382,0.45649366626943283,greyscale -> blue -> silhouette-14
383,0.37414402693969084,greyscale -> blue -> silhouette-15
384,0.29439222821036076,greyscale -> blue -> entropy-0
385,0.28182509411908246,greyscale -> blue -> entropy-1
386,0.28941038928530344,greyscale -> blue -> number_of_points-0
387,0.2894111558184799,greyscale -> blue -> number_of_points-1
388,0.15661243678342918,greyscale -> blue -> heat-0
389,0.5474321221745344,greyscale -> blue -> heat-1
390,0.47115135479837855,greyscale -> blue -> heat-2
391,0.38654329658042824,greyscale -> blue -> heat-3
392,0.13988704485936138,greyscale -> blue -> heat-4
393,0.47537745283034233,greyscale -> blue -> heat-5
394,0.41880297303727554,greyscale -> blue -> heat-6
395,0.3357566368467469,greyscale -> blue -> heat-7
